id;Name;Max Length;Memory Type;Horizon Split;Data Source;language_instruction
0;ShellGameTouch-VLA-v0;30;Spatial;Short;PPO;Observe which cup hides the ball, wait, then touch that cup.
1;ShellGamePush-VLA-v0;30;Spatial;Short;PPO;Observe which cup hides the ball, wait, then push that cup forward.
2;InterceptSlow-VLA-v0;60;Spatial;Short;PPO;Intercept the rolling ball by moving to its path and deflecting it toward the target.
3;InterceptMedium-VLA-v0;60;Spatial;Short;PPO;Intercept the rolling ball by moving to its path and deflecting it toward the target.
4;InterceptFast-VLA-v0;60;Spatial;Short;PPO;Intercept the rolling ball by moving to its path and deflecting it toward the target.
5;InterceptGrabSlow-VLA-v0;60;Spatial;Short;PPO;Intercept the rolling ball and grasp it to stop it.
6;InterceptGrabMedium-VLA-v0;60;Spatial;Short;PPO;Intercept the rolling ball and grasp it to stop it.
7;InterceptGrabFast-VLA-v0;60;Spatial;Short;PPO;Intercept the rolling ball and grasp it to stop it.
8;RotateLenientPos-VLA-v0;60;Spatial;Short;PPO;Rotate the peg by {angle_deg} degrees to match the target angle.
9;RotateLenientPosNeg-VLA-v0;60;Spatial;Short;PPO;Rotate the peg by {angle_deg} degrees to match the target angle.
10;RotateStrictPos-VLA-v0;90;Spatial;Short;PPO;Rotate the peg by {angle_deg} degrees to match the target angle while keeping the center of the peg in place.
11;RotateStrictPosNeg-VLA-v0;90;Spatial;Short;PPO;Rotate the peg by {angle_deg} degrees to match the target angle while keeping the center of the peg in place.
12;TakeItBack-VLA-v0;60;Spatial;Short;PPO;Push the cube onto the red target, and when the target changes color, return the cube to its original position.
13;RememberColor3-VLA-v0;25;Object;Short;PPO;Observe the cube's color, wait, then touch the cube of the same color.
14;RememberColor5-VLA-v0;25;Object;Short;PPO;Observe the cube's color, wait, then touch the cube of the same color.
15;RememberColor9-VLA-v0;25;Object;Short;PPO;Observe the cube's color, wait, then touch the cube of the same color.
16;RememberShape3-VLA-v0;25;Object;Short;PPO;Observe the object's shape, wait, then touch the object of the same shape.
17;RememberShape5-VLA-v0;25;Object;Short;PPO;Observe the object's shape, wait, then touch the object of the same shape.
18;RememberShape9-VLA-v0;25;Object;Short;PPO;Observe the object's shape, wait, then touch the object of the same shape.
19;RememberShapeAndColor3x2-VLA-v0;25;Object;Short;PPO;Observe the object's shape and color, wait, then touch the object of the same shape and color.
20;RememberShapeAndColor3x3-VLA-v0;25;Object;Short;PPO;Observe the object's shape and color, wait, then touch the object of the same shape and color.
21;RememberShapeAndColor5x3-VLA-v0;25;Object;Short;PPO;Observe the object's shape and color, wait, then touch the object of the same shape and color.
22;BunchOfColors3-VLA-v0;400;Capacity;Medium;MP;Observe which colored cubes appear during the cue, wait, then touch all of them in any order and press the center button.
23;BunchOfColors5-VLA-v0;400;Capacity;Medium;MP;Observe which colored cubes appear during the cue, wait, then touch all of them in any order and press the center button.
24;BunchOfColors7-VLA-v0;400;Capacity;Medium;MP;Observe which colored cubes appear during the cue, wait, then touch all of them in any order and press the center button.
25;SeqOfColors3-VLA-v0;400;Capacity;Medium;MP;Observe which colored cubes appear during the cue, wait, then touch all of them in any order and press the center button.
26;SeqOfColors5-VLA-v0;400;Capacity;Medium;MP;Observe which colored cubes appear during the cue, wait, then touch all of them in any order and press the center button.
27;SeqOfColors7-VLA-v0;400;Capacity;Medium;MP;Observe which colored cubes appear during the cue, wait, then touch all of them in any order and press the center button.
28;ChainOfColors3-VLA-v0;400;Sequential;Medium;MP;Observe which colored cubes appear during the cue, wait, then touch all of them in the same order as the cubes were shown and press the center button.
29;ChainOfColors5-VLA-v0;400;Sequential;Medium;MP;Observe which colored cubes appear during the cue, wait, then touch all of them in the same order as the cubes were shown and press the center button.
30;ChainOfColors7-VLA-v0;400;Sequential;Medium;MP;Observe which colored cubes appear during the cue, wait, then touch all of them in the same order as the cubes were shown and press the center button.
31;ShellGameShuffleTouch-VLA-v0;60;Tracking;Short;PPO;Observe which cup hides the ball, track the cups as they shuffle, then touch the correct cup.
32;ShellGameShuffleColorLampTouch-VLA-v0;60;Tracking;Short;PPO;Observe which color is under each cup, track the cups as they shuffle, then touch the cup matching the lamp color.
33;ShellGameColorLampTouch-VLA-v0;30;Spatial;Short;PPO;Observe which color is under each cup, then touch the cup matching the lamp color.
34;FindImposterColor3-VLA-v0;25;Negative;Short;PPO;Observe the cubes shown, wait, then touch the cube whose color was not present before.
35;FindImposterColor5-VLA-v0;25;Negative;Short;PPO;Observe the cubes shown, wait, then touch the cube whose color was not present before.
36;FindImposterColor9-VLA-v0;25;Negative;Short;PPO;Observe the cubes shown, wait, then touch the cube whose color was not present before.
37;FindImposterShape3-VLA-v0;25;Negative;Short;PPO;Observe the shapes shown, wait, then touch the object whose shape was not present before.
38;FindImposterShape5-VLA-v0;25;Negative;Short;PPO;Observe the shapes shown, wait, then touch the object whose shape was not present before.
